word,The Craft,The Black Cauldron,total
oh,31,88,119
dont,63,31,94
im,56,29,85
know,57,14,71
look,27,39,66
go,44,22,66
see,17,39,56
like,36,20,56
come,30,25,55
youre,31,20,51
yes,8,43,51
back,17,33,50
away,8,40,48
want,34,10,44
looks,3,40,43
going,22,20,42
hes,17,24,41
pig,1,38,39
thats,26,12,38
good,23,15,38
think,30,7,37
right,23,14,37
stop,23,12,35
whats,24,10,34
little,14,19,33
black,3,28,31
sorry,25,4,29
really,26,3,29
please,20,8,28
ill,16,12,28
way,11,16,27
mean,16,11,27
cant,18,8,26
didnt,19,6,25
wait,16,8,24
boy,1,23,24
shes,20,3,23
make,10,13,23
magic,8,15,23
water,4,17,21
uh,1,20,21
god,20,1,21
take,9,11,20
hand,2,18,20
great,5,15,20
give,6,13,19
takes,2,16,18
power,12,6,18
maybe,15,3,18
light,9,9,18
trying,6,11,17
head,12,5,17
girl,6,11,17
theyre,11,5,16
tell,9,7,16
find,3,13,16
turns,1,14,15
thought,9,6,15
thing,7,8,15
sure,7,8,15
place,4,11,15
need,14,1,15
life,6,9,15
ive,5,10,15
seen,2,12,14
run,4,10,14
nice,9,5,14
lets,9,5,14
keep,5,9,14
ground,1,13,14
gone,3,11,14
door,1,13,14
doing,8,6,14
better,6,8,14
three,8,5,13
powers,10,3,13
made,5,8,13
love,11,2,13
looking,7,6,13
hold,6,7,13
hear,8,5,13
comes,3,10,13
people,8,4,12
help,5,7,12
youll,2,9,11
watch,6,5,11
room,3,8,11
home,9,2,11
harm,10,1,11
fault,1,10,11
coming,4,7,11
understand,8,2,10
time,5,5,10
thank,3,7,10
old,2,8,10
mind,4,6,10
friends,4,6,10
big,6,4,10
believe,6,4,10
air,5,5,10
afraid,3,7,10
wrong,5,4,9
witches,2,7,9
witch,8,1,9
walk,2,7,9
things,6,3,9
show,3,6,9
shall,2,7,9
put,6,3,9
poor,1,8,9
inside,5,4,9
hell,4,5,9
feel,8,1,9
eyes,4,5,9
end,4,5,9
close,3,6,9
body,3,6,9
backs,1,8,9
arent,4,5,9
working,7,1,8
wanted,4,4,8
use,3,5,8
touch,5,3,8
theres,4,4,8
talking,7,1,8
stay,6,2,8
soon,1,7,8
open,2,6,8
move,4,4,8
man,6,2,8
listen,6,2,8
leave,5,3,8
kill,6,2,8
hello,4,4,8
happened,7,1,8
hair,5,3,8
fire,4,4,8
face,1,7,8
doesnt,6,2,8
dead,5,3,8
youve,1,6,7
work,3,4,7
wont,1,6,7
window,1,6,7
waiting,2,5,7
thinking,4,3,7
starts,1,6,7
remember,3,4,7
ready,3,4,7
pretty,5,2,7
perfect,4,3,7
matter,5,2,7
makes,4,3,7
hit,6,1,7
hey,1,6,7
hate,6,1,7
fly,2,5,7
finger,5,2,7
cry,3,4,7
course,3,4,7
circle,6,1,7
call,6,1,7
beautiful,6,1,7
bad,6,1,7
weve,2,4,6
watching,1,5,6
wasnt,1,5,6
voice,1,5,6
try,4,2,6
told,5,1,6
supposed,4,2,6
sit,4,2,6
seeing,1,5,6
scared,4,2,6
saw,2,4,6
safe,1,5,6
running,1,5,6
real,5,1,6
lights,4,2,6
isnt,2,4,6
id,2,4,6
hurt,2,4,6
hole,1,5,6
heart,3,3,6
forget,4,2,6
follow,1,5,6
fear,2,4,6
fall,2,4,6
drink,4,2,6
day,3,3,6
chance,1,5,6
cause,5,1,6
bring,1,5,6
ask,4,2,6
youd,2,3,5
wind,1,4,5
weak,4,1,5
turned,1,4,5
true,3,2,5
today,3,2,5
talk,4,1,5
stairs,1,4,5
sisters,4,1,5
red,4,1,5
missing,1,4,5
leaving,1,4,5
hat,1,4,5
hard,2,3,5
gives,1,4,5
getting,4,1,5
flying,3,2,5
eat,1,4,5
turn,2,2,4
throat,1,3,4
surprised,3,1,4
spirit,3,1,4
special,2,2,4
somebody,3,1,4
reach,2,2,4
pulled,1,3,4
outside,2,2,4
night,3,1,4
new,3,1,4
mine,2,2,4
late,3,1,4
knife,1,3,4
itll,1,3,4
idea,1,3,4
hot,2,2,4
hmm,1,3,4
heard,2,2,4
heads,3,1,4
havent,2,2,4
green,2,2,4
funny,3,1,4
found,2,2,4
feeling,2,2,4
exist,3,1,4
everybody,3,1,4
dream,2,2,4
devil,3,1,4
crazy,3,1,4
completely,3,1,4
careful,1,3,4
calm,2,2,4
called,3,1,4
butt,3,1,4
burst,1,3,4
anyway,2,2,4
wouldnt,1,2,3
