word,The Craft,The Devils,total
dont,63,22,85
know,57,18,75
im,56,11,67
god,20,45,65
father,2,62,64
go,44,17,61
oh,31,22,53
like,36,12,48
want,34,12,46
love,11,35,46
come,30,16,46
good,23,22,45
think,30,14,44
yeah,42,1,43
see,17,25,42
man,6,34,40
youre,31,8,39
yes,8,28,36
look,27,9,36
thats,26,9,35
stop,23,8,31
thee,9,20,29
right,23,6,29
please,20,9,29
really,26,2,28
going,22,6,28
take,9,18,27
sorry,25,2,27
need,14,13,27
whats,24,2,26
hes,17,9,26
tell,9,16,25
way,11,13,24
sister,1,23,24
shes,20,4,24
mean,16,7,23
dead,5,18,23
christ,1,22,23
back,17,6,23
devil,3,19,22
cant,18,4,22
shall,2,19,21
mother,5,16,21
little,14,7,21
didnt,19,2,21
give,6,14,20
ill,16,3,19
away,8,11,19
wait,16,2,18
thing,7,11,18
make,10,8,18
power,12,4,16
people,8,8,16
time,5,10,15
theyre,11,4,15
jesus,3,12,15
help,5,10,15
thought,9,5,14
life,6,8,14
head,12,2,14
city,1,13,14
understand,8,5,13
put,6,7,13
new,3,10,13
holy,2,11,13
course,3,10,13
body,3,10,13
pray,1,11,12
powers,10,2,12
child,1,11,12
women,1,10,11
things,6,5,11
light,9,2,11
lets,9,2,11
ive,5,6,11
home,9,2,11
believe,6,5,11
ask,4,7,11
witch,8,2,10
three,8,2,10
theres,4,6,10
sisters,4,6,10
saying,8,2,10
morning,1,9,10
matter,5,5,10
house,3,7,10
found,2,8,10
find,3,7,10
feel,8,2,10
end,4,6,10
de,1,9,10
day,3,7,10
beautiful,6,4,10
wish,1,8,9
true,3,6,9
thy,1,8,9
st,1,8,9
speak,1,8,9
place,4,5,9
peace,2,7,9
night,3,6,9
leave,5,4,9
hold,6,3,9
hell,4,5,9
hear,8,1,9
hail,8,1,9
gone,3,6,9
fire,4,5,9
eyes,4,5,9
bring,1,8,9
trying,6,2,8
try,4,4,8
told,5,3,8
times,7,1,8
thoughts,1,7,8
thank,3,5,8
stay,6,2,8
ready,3,5,8
pretty,5,3,8
pay,7,1,8
mr,2,6,8
mind,4,4,8
inside,5,3,8
heart,3,5,8
hate,6,2,8
happened,7,1,8
great,5,3,8
face,1,7,8
earth,6,2,8
bitch,5,3,8
youve,1,6,7
youll,2,5,7
world,1,6,7
work,3,4,7
woman,1,6,7
watch,6,1,7
two,1,6,7
touch,5,2,7
seen,2,5,7
remember,3,4,7
real,5,2,7
pathetic,6,1,7
move,4,3,7
made,5,2,7
listen,6,1,7
killed,6,1,7
kill,6,1,7
keep,5,2,7
hit,6,1,7
fourth,6,1,7
doesnt,6,1,7
daughter,1,6,7
call,6,1,7
book,4,3,7
better,6,1,7
bad,6,1,7
weak,4,2,6
water,4,2,6
waiting,2,4,6
use,3,3,6
turn,2,4,6
truth,2,4,6
spirit,3,3,6
shut,5,1,6
show,3,3,6
second,5,1,6
save,1,5,6
responsible,1,5,6
read,5,1,6
money,5,1,6
long,1,5,6
late,3,3,6
important,1,5,6
heard,2,4,6
hair,5,1,6
coming,4,2,6
comes,3,3,6
called,3,3,6
bye,4,2,6
burn,1,5,6
black,3,3,6
wanted,4,1,5
today,3,2,5
soon,1,4,5
satan,1,4,5
room,3,2,5
poor,1,4,5
perfect,4,1,5
nature,3,2,5
mass,1,4,5
loved,2,3,5
havent,2,3,5
hang,3,2,5
form,2,3,5
forget,4,1,5
five,4,1,5
enter,4,1,5
close,3,2,5
blessed,2,3,5
afraid,3,2,5
act,1,4,5
wont,1,3,4
witches,2,2,4
whores,1,3,4
white,3,1,4
weve,2,2,4
trust,2,2,4
tomorrow,2,2,4
surprised,3,1,4
somebody,3,1,4
sleep,2,2,4
