word,The Craft,Witches of Eastwick,total
dont,63,69,132
know,57,50,107
im,56,40,96
go,44,26,70
like,36,32,68
want,34,31,65
thats,26,36,62
come,30,29,59
think,30,28,58
youre,31,23,54
yeah,42,10,52
oh,31,19,50
cant,18,29,47
see,17,29,46
look,27,19,46
right,23,22,45
good,23,21,44
little,14,28,42
going,22,18,40
whats,24,15,39
yes,8,29,37
stop,23,14,37
really,26,11,37
okay,21,16,37
sorry,25,10,35
shes,20,12,32
god,20,12,32
make,10,21,31
hes,17,11,28
back,17,11,28
love,11,15,26
lets,9,17,26
please,20,5,25
take,9,15,24
didnt,19,5,24
theyre,11,12,23
feel,8,14,22
wait,16,5,21
time,5,16,21
mean,16,5,21
maybe,15,6,21
ill,16,5,21
doing,8,13,21
need,14,5,19
guys,18,1,19
women,1,17,18
way,11,7,18
things,6,12,18
nice,9,9,18
woman,1,15,16
somebody,3,13,16
shit,13,3,16
man,6,10,16
call,6,10,16
away,8,8,16
understand,8,7,15
three,8,7,15
sure,7,8,15
hi,9,6,15
head,12,3,15
happen,5,10,15
talking,7,7,14
power,12,2,14
people,8,6,14
looking,7,7,14
life,6,8,14
girls,9,5,14
fine,8,6,14
thought,9,4,13
thing,7,6,13
thank,3,10,13
tell,9,4,13
home,9,4,13
eyes,4,9,13
doesnt,6,7,13
wrong,5,7,12
trying,6,6,12
talk,4,8,12
isnt,2,10,12
honey,8,4,12
hear,8,4,12
day,3,9,12
big,6,6,12
better,6,6,12
true,3,8,11
keep,5,6,11
house,3,8,11
give,6,5,11
believe,6,5,11
told,5,5,10
times,7,3,10
thee,9,1,10
saying,8,2,10
pay,7,3,10
mind,4,6,10
matter,5,5,10
made,5,5,10
ive,5,5,10
great,5,5,10
dead,5,5,10
arent,4,6,10
two,1,8,9
try,4,5,9
today,3,6,9
put,6,3,9
play,2,7,9
inside,5,4,9
hell,4,5,9
bad,6,3,9
use,3,5,8
thinking,4,4,8
theres,4,4,8
shut,5,3,8
place,4,4,8
open,2,6,8
new,3,5,8
makes,4,4,8
listen,6,2,8
kind,2,6,8
hold,6,2,8
help,5,3,8
hello,4,4,8
having,3,5,8
friends,4,4,8
five,4,4,8
earth,6,2,8
course,3,5,8
bitch,5,3,8
beautiful,6,2,8
afraid,3,5,8
world,1,6,7
weird,6,1,7
watch,6,1,7
sweet,2,5,7
stay,6,1,7
sit,4,3,7
pathetic,6,1,7
killed,6,1,7
kill,6,1,7
huh,2,5,7
hard,2,5,7
devil,3,4,7
coming,4,3,7
called,3,4,7
ask,4,3,7
anybody,1,6,7
work,3,3,6
wanted,4,2,6
touch,5,1,6
supposed,4,2,6
remember,3,3,6
relax,3,3,6
practice,4,2,6
poor,1,5,6
paranoid,5,1,6
nature,3,3,6
natural,3,3,6
mother,5,1,6
morning,1,5,6
leave,5,1,6
late,3,3,6
kids,1,5,6
hurt,2,4,6
hmm,1,5,6
happening,3,3,6
hair,5,1,6
getting,4,2,6
fuck,1,5,6
four,1,5,6
feeling,2,4,6
eat,1,5,6
eastwick,1,5,6
drink,4,2,6
crazy,3,3,6
couldnt,2,4,6
care,1,5,6
came,3,3,6
bed,2,4,6
ass,4,2,6
actually,4,2,6
youve,1,4,5
win,2,3,5
whores,1,4,5
week,1,4,5
