word,The Witches of Eastwick,Evil Dead,total
know,50,19,69
back,11,53,64
like,32,27,59
see,29,22,51
ha,3,44,47
right,22,22,44
im,40,1,41
eyes,9,30,39
come,29,10,39
want,31,7,38
room,1,34,35
think,28,6,34
go,26,8,34
little,28,5,33
hand,2,31,33
okay,16,16,32
looks,2,30,32
ll,1,31,32
good,21,11,32
yes,29,2,31
dead,5,24,29
away,8,21,29
going,18,10,28
make,21,6,27
oh,19,7,26
look,19,7,26
time,16,8,24
take,15,7,22
small,4,18,22
open,6,16,22
yeah,10,11,21
heard,1,19,20
head,3,17,20
lets,17,2,19
body,1,18,19
things,12,6,18
way,7,10,17
really,11,6,17
old,1,16,17
love,15,2,17
god,12,5,17
force,1,16,17
die,3,14,17
car,1,16,17
seen,2,14,16
please,5,11,16
inside,4,12,16
feel,14,2,16
doing,13,3,16
two,8,7,15
thing,6,9,15
stop,14,1,15
place,4,11,15
face,1,14,15
man,10,4,14
town,8,5,13
sure,8,5,13
looking,7,6,13
evil,4,9,13
uh,1,11,12
thank,10,2,12
shut,3,9,12
listen,2,10,12
hell,5,7,12
find,1,11,12
call,10,2,12
wrong,7,4,11
sorry,10,1,11
sees,1,10,11
past,1,10,11
name,10,1,11
men,9,2,11
mean,5,6,11
keep,6,5,11
house,8,3,11
happen,10,1,11
better,6,5,11
wait,5,5,10
talking,7,3,10
pain,8,2,10
nice,9,1,10
morning,5,5,10
life,8,2,10
leave,1,9,10
help,3,7,10
hear,4,6,10
feet,2,8,10
bedroom,1,9,10
work,3,6,9
trying,6,3,9
three,7,2,9
play,7,2,9
jesus,2,7,9
hands,1,8,9
dark,2,7,9
bad,3,6,9
answer,4,5,9
wind,1,7,8
understand,7,1,8
try,5,3,8
tomorrow,3,5,8
sounds,1,7,8
people,6,2,8
made,5,3,8
leg,2,6,8
holds,1,7,8
give,5,3,8
fine,6,2,8
faster,6,2,8
done,4,4,8
deep,2,6,8
christ,3,5,8
black,1,7,8
big,6,2,8
believe,5,3,8
thought,4,3,7
tell,4,3,7
strange,4,3,7
shed,1,6,7
put,3,4,7
mouth,1,6,7
mountains,1,6,7
mind,6,1,7
maybe,6,1,7
knew,2,5,7
kind,6,1,7
four,5,2,7
family,6,1,7
drink,2,5,7
comes,1,6,7
close,1,6,7
care,5,2,7
cards,1,6,7
attention,2,5,7
anybody,6,1,7
sweet,5,1,6
stay,1,5,6
starts,4,2,6
stand,2,4,6
short,5,1,6
point,1,5,6
new,5,1,6
mirror,3,3,6
long,2,4,6
left,3,3,6
laugh,1,5,6
home,4,2,6
great,5,1,6
gone,2,4,6
friends,4,2,6
five,4,2,6
fingers,2,4,6
eat,5,1,6
dirt,2,4,6
deal,2,4,6
cut,1,5,6
breaks,1,5,6
bodies,1,5,6
bed,4,2,6
wife,3,2,5
waiting,2,3,5
um,4,1,5
sit,3,2,5
shit,3,2,5
seven,2,3,5
paper,2,3,5
number,3,2,5
natural,3,2,5
music,4,1,5
moving,1,4,5
minute,2,3,5
makes,4,1,5
legs,1,4,5
leaves,1,4,5
late,3,2,5
human,4,1,5
getting,2,3,5
fear,1,4,5
crazy,3,2,5
control,1,4,5
came,3,2,5
brings,1,4,5
bone,3,2,5
blood,1,4,5
beautiful,2,3,5
baby,1,4,5
watch,1,3,4
upset,3,1,4
torn,1,3,4
top,2,2,4
start,1,3,4
standing,2,2,4
six,3,1,4
shell,3,1,4
sent,1,3,4
sense,3,1,4
relax,3,1,4
pick,2,2,4
pay,3,1,4
passed,1,3,4
noise,1,3,4
night,2,2,4
lost,2,2,4
local,3,1,4
lips,1,3,4
kill,1,3,4
kidding,2,2,4
key,1,3,4
holding,1,3,4
heads,1,3,4
guess,1,3,4
grabbing,1,3,4
end,1,3,4
days,3,1,4
damn,1,3,4
coming,3,1,4
clothes,1,3,4
case,3,1,4
bit,3,1,4
best,2,2,4
bends,2,2,4
asleep,1,3,4
ah,2,2,4
works,1,2,3
warn,2,1,3
vice,2,1,3
used,2,1,3
unloads,2,1,3
throw,2,1,3
supposed,2,1,3
strong,2,1,3
started,2,1,3
smile,2,1,3
shirts,2,1,3
saying,2,1,3
sake,1,2,3
rest,1,2,3
reason,1,2,3
putting,2,1,3
powerful,2,1,3
power,2,1,3
pouring,1,2,3
position,1,2,3
playing,2,1,3
pieces,2,1,3
normal,2,1,3
million,2,1,3
making,2,1,3
lousy,1,2,3
lose,1,2,3
lock,1,2,3
kiss,2,1,3
killed,1,2,3
hole,1,2,3
hold,2,1,3
history,2,1,3
high,1,2,3
hanging,1,2,3
hair,1,2,3
guy,2,1,3
growing,2,1,3
gets,1,2,3
friend,1,2,3
found,1,2,3
forever,2,1,3
final,1,2,3
exactly,2,1,3
entire,2,1,3
earth,2,1,3
drinks,1,2,3
drawn,1,2,3
direct,2,1,3
dinner,1,2,3
deck,1,2,3
dealing,1,2,3
cheap,1,2,3
calling,1,2,3
burn,2,1,3
broken,1,2,3
bother,2,1,3
bits,1,2,3
ahead,2,1,3
afternoon,2,1,3
actually,2,1,3
worked,1,1,2
wonderful,1,1,2
weeks,1,1,2
twenty,1,1,2
touch,1,1,2
tongue,1,1,2
tighten,1,1,2
thoughts,1,1,2
th,1,1,2
taking,1,1,2
students,1,1,2
stretch,1,1,2
spine,1,1,2
snap,1,1,2
sleep,1,1,2
serves,1,1,2
school,1,1,2
