word,The Witches of Eastwick,I Married a Witch,total
dont,69,44,113
im,40,48,88
know,50,33,83
like,32,45,77
want,31,44,75
see,29,44,73
oh,19,51,70
thats,36,31,67
yes,29,37,66
good,21,42,63
ill,5,56,61
youre,23,37,60
go,26,30,56
love,15,36,51
come,29,21,50
going,18,31,49
cant,29,20,49
right,22,26,48
think,28,19,47
little,28,17,45
make,21,22,43
look,19,20,39
whats,15,20,35
man,10,23,33
take,15,17,32
ive,5,27,32
time,16,13,29
people,6,23,29
woman,15,12,27
lets,17,10,27
back,11,16,27
way,7,18,25
better,6,18,24
hes,11,12,23
shes,12,10,22
tell,4,17,21
didnt,5,16,21
thought,4,16,20
stop,14,6,20
sorry,10,10,20
women,17,2,19
two,8,11,19
things,12,7,19
theyre,12,7,19
theres,4,15,19
night,2,17,19
feel,14,5,19
thank,10,8,18
isnt,10,8,18
darling,3,15,18
away,8,10,18
remember,3,14,17
really,11,6,17
okay,16,1,17
day,9,8,17
youve,4,12,16
tomorrow,3,13,16
thy,1,15,16
house,8,8,16
happen,10,6,16
doing,13,3,16
youll,2,13,15
yeah,10,5,15
sure,8,7,15
please,5,10,15
nice,9,6,15
give,5,10,15
call,10,5,15
told,5,9,14
somebody,13,1,14
morning,5,9,14
mind,6,8,14
id,3,11,14
doesnt,7,7,14
course,5,9,14
wrong,7,6,13
talking,7,6,13
men,9,4,13
matter,5,8,13
hmm,5,8,13
god,12,1,13
wouldnt,3,9,12
three,7,5,12
talk,8,4,12
new,5,7,12
name,10,2,12
mm,6,6,12
life,8,4,12
fine,6,6,12
eyes,9,3,12
big,6,6,12
afraid,5,7,12
wait,5,6,11
try,5,6,11
true,8,3,11
thing,6,5,11
terrible,7,4,11
maybe,6,5,11
keep,6,5,11
help,3,8,11
hear,4,7,11
hand,2,9,11
family,6,5,11
drink,2,9,11
believe,5,6,11
understand,7,3,10
uh,1,9,10
town,8,2,10
thee,1,9,10
quick,1,9,10
need,5,5,10
mean,5,5,10
huh,5,5,10
great,5,5,10
dead,5,5,10
curse,2,8,10
body,1,9,10
arent,6,4,10
youd,1,8,9
world,6,3,9
trying,6,3,9
tickle,8,1,9
sweet,5,4,9
play,7,2,9
married,1,8,9
looking,7,2,9
listen,2,7,9
ladies,5,4,9
hope,1,8,9
home,4,5,9
head,3,6,9
getting,2,7,9
faster,6,3,9
easy,7,2,9
young,1,7,8
witchcraft,1,7,8
wish,2,6,8
wife,3,5,8
use,5,3,8
today,6,2,8
stay,1,7,8
shut,3,5,8
put,3,5,8
made,5,3,8
hold,2,6,8
hell,5,3,8
girls,5,3,8
done,4,4,8
came,3,5,8
bad,3,5,8
anybody,6,2,8
ah,2,6,8
wont,3,4,7
waiting,2,5,7
short,5,2,7
room,1,6,7
rid,3,4,7
poor,5,2,7
looks,2,5,7
long,2,5,7
lips,1,6,7
late,3,4,7
kind,6,1,7
hurt,4,3,7
hello,4,3,7
hard,5,2,7
future,2,5,7
evil,4,3,7
couldnt,4,3,7
close,1,6,7
children,4,3,7
care,5,2,7
trouble,2,4,6
strange,4,2,6
sleep,1,5,6
shell,3,3,6
seen,2,4,6
place,4,2,6
pay,3,3,6
old,1,5,6
nervous,1,5,6
music,4,2,6
mother,1,5,6
minutes,2,4,6
minute,2,4,6
meet,5,1,6
leave,1,5,6
knows,4,2,6
knew,2,4,6
human,4,2,6
ha,3,3,6
guess,1,5,6
four,5,1,6
forever,2,4,6
fellow,1,5,6
excuse,3,3,6
doctor,5,1,6
days,3,3,6
coming,3,3,6
burn,2,4,6
bit,3,3,6
work,3,2,5
witches,2,3,5
win,3,2,5
wed,1,4,5
war,2,3,5
wanted,2,3,5
used,2,3,5
times,3,2,5
thanks,1,4,5
stupid,3,2,5
start,1,4,5
stand,2,3,5
smile,2,3,5
shh,3,2,5
sense,3,2,5
saying,2,3,5
rest,1,4,5
relax,3,2,5
ready,1,4,5
problem,3,2,5
power,2,3,5
paper,2,3,5
miss,2,3,5
mirror,3,2,5
met,1,4,5
left,3,2,5
later,1,4,5
inside,4,1,5
happy,3,2,5
gave,2,3,5
five,4,1,5
find,1,4,5
feeling,4,1,5
fair,3,2,5
exactly,2,3,5
dressed,1,4,5
die,3,2,5
clothes,1,4,5
certainly,1,4,5
case,3,2,5
called,4,1,5
building,2,3,5
best,2,3,5
beautiful,2,3,5
anymore,3,2,5
went,2,2,4
trust,3,1,4
top,2,2,4
throw,2,2,4
sit,3,1,4
shed,1,3,4
send,1,3,4
realize,2,2,4
point,1,3,4
ooh,1,3,4
needed,3,1,4
natural,3,1,4
lovely,1,3,4
lot,2,2,4
lost,2,2,4
idea,1,3,4
honest,3,1,4
heres,1,3,4
heart,1,3,4
havent,1,3,4
hair,1,3,4
growing,2,2,4
gone,2,2,4
gets,1,3,4
gentlemen,1,3,4
funny,2,2,4
full,2,2,4
force,1,3,4
face,1,3,4
drop,1,3,4
couple,3,1,4
butter,3,1,4
business,3,1,4
bring,1,3,4
ask,3,1,4
admit,3,1,4
words,2,1,3
walk,1,2,3
touch,1,2,3
ten,1,2,3
telling,1,2,3
taking,1,2,3
suppose,1,2,3
standing,2,1,3
speech,1,2,3
soul,2,1,3
shop,2,1,3
seeing,2,1,3
romantic,1,2,3
rent,1,2,3
possibly,1,2,3
pick,2,1,3
person,2,1,3
perfect,1,2,3
party,1,2,3
notes,2,1,3
names,1,2,3
murder,2,1,3
mistake,2,1,3
middle,2,1,3
martha,1,2,3
mansion,2,1,3
making,2,1,3
lucky,2,1,3
lose,1,2,3
looked,2,1,3
line,1,2,3
legs,1,2,3
kiss,2,1,3
killed,1,2,3
hed,2,1,3
guy,2,1,3
glad,1,2,3
free,1,2,3
found,1,2,3
forget,1,2,3
fix,1,2,3
fathers,1,2,3
fall,1,2,3
entire,2,1,3
end,1,2,3
earth,2,1,3
dream,1,2,3
dozen,1,2,3
different,2,1,3
dark,2,1,3
control,1,2,3
considering,2,1,3
cares,1,2,3
car,1,2,3
burned,1,2,3
boys,2,1,3
boy,1,2,3
blood,1,2,3
beginning,1,2,3
babies,2,1,3
ahead,2,1,3
accident,1,2,3
worked,1,1,2
wonderful,1,1,2
wonder,1,1,2
wind,1,1,2
weve,1,1,2
wearing,1,1,2
watch,1,1,2
trick,1,1,2
treat,1,1,2
torture,1,1,2
tied,1,1,2
taught,1,1,2
taste,1,1,2
stopped,1,1,2
someones,1,1,2
solid,1,1,2
smell,1,1,2
serious,1,1,2
sent,1,1,2
scare,1,1,2
sake,1,1,2
running,1,1,2
rum,1,1,2
ruined,1,1,2
rubbish,1,1,2
promise,1,1,2
pill,1,1,2
personal,1,1,2
pardon,1,1,2
office,1,1,2
nights,1,1,2
modern,1,1,2
missing,1,1,2
loved,1,1,2
lock,1,1,2
lives,1,1,2
learn,1,1,2
language,1,1,2
knowing,1,1,2
keeps,1,1,2
interviewed,1,1,2
honor,1,1,2
high,1,1,2
heh,1,1,2
heard,1,1,2
hat,1,1,2
hasnt,1,1,2
hang,1,1,2
half,1,1,2
hadnt,1,1,2
goes,1,1,2
gathering,1,1,2
friend,1,1,2
fit,1,1,2
finished,1,1,2
fighting,1,1,2
fight,1,1,2
female,1,1,2
fat,1,1,2
exposed,1,1,2
explanation,1,1,2
everythings,1,1,2
everybodys,1,1,2
empire,1,1,2
eaten,1,1,2
dishes,1,1,2
cut,1,1,2
congratulations,1,1,2
comes,1,1,2
club,1,1,2
church,1,1,2
child,1,1,2
chance,1,1,2
ceiling,1,1,2
catch,1,1,2
calm,1,1,2
busy,1,1,2
build,1,1,2
broken,1,1,2
brandy,1,1,2
borrow,1,1,2
bodies,1,1,2
black,1,1,2
bedroom,1,1,2
beautifully,1,1,2
amazing,1,1,2
affection,1,1,2
daryl,20,0,20
alex,20,0,20
jane,15,0,15
clyde,15,0,15
felicia,14,0,14
sukie,13,0,13
pain,8,0,8
bought,8,0,8
van,7,0,7
walter,6,0,6
open,6,0,6
husband,6,0,6
horne,6,0,6
hi,6,0,6
cream,6,0,6
sick,5,0,5
pregnant,5,0,5
mistakes,5,0,5
lunch,5,0,5
lenox,5,0,5
kids,5,0,5
ice,5,0,5
having,5,0,5
fuck,5,0,5
eat,5,0,5
eastwick,5,0,5
whores,4,0,4
week,4,0,4
um,4,0,4
thinking,4,0,4
sweetheart,4,0,4
sugar,4,0,4
starts,4,0,4
small,4,0,4
precision,4,0,4
passion,4,0,4
nobodys,4,0,4
makes,4,0,4
liberty,4,0,4
interview,4,0,4
interesting,4,0,4
honey,4,0,4
happens,4,0,4
friends,4,0,4
fidel,4,0,4
divorce,4,0,4
disintegrating,4,0,4
devil,4,0,4
chocolate,4,0,4
birds,4,0,4
bed,4,0,4
appreciate,4,0,4
answer,4,0,4
york,3,0,3
wash,3,0,3
upset,3,0,3
uhn,3,0,3
spofford,3,0,3
snowy,3,0,3
six,3,0,3
shit,3,0,3
selling,3,0,3
prissy,3,0,3
prince,3,0,3
pianos,3,0,3
peculiar,3,0,3
peanut,3,0,3
number,3,0,3
newspaper,3,0,3
news,3,0,3
nature,3,0,3
mrs,3,0,3
local,3,0,3
kid,3,0,3
jelly,3,0,3
janey,3,0,3
huge,3,0,3
hardships,3,0,3
happening,3,0,3
handsome,3,0,3
foreign,3,0,3
fish,3,0,3
feed,3,0,3
fault,3,0,3
fabulous,3,0,3
drugs,3,0,3
double,3,0,3
disappear,3,0,3
daylight,3,0,3
crazy,3,0,3
crawl,3,0,3
