word,The Witches of Eastwick,Macbeth,total
know,50,13,63
come,29,26,55
like,32,21,53
good,21,26,47
thats,36,6,42
time,16,25,41
go,26,14,40
make,21,18,39
see,29,9,38
think,28,6,34
look,19,15,34
thee,1,30,31
little,28,3,31
yes,29,1,30
lord,2,28,30
done,4,26,30
thy,1,27,28
night,2,24,26
man,10,16,26
woman,15,9,24
take,15,9,24
right,22,1,23
fear,1,21,22
blood,1,21,22
women,17,4,21
whats,15,6,21
oh,19,2,21
love,15,6,21
lets,17,3,20
going,18,2,20
day,9,11,20
life,8,11,19
great,5,14,19
god,12,7,19
things,12,6,18
sleep,1,17,18
men,9,9,18
ill,5,13,18
feel,14,4,18
give,5,12,17
bed,4,13,17
way,7,8,15
stop,14,1,15
hes,11,4,15
dead,5,10,15
call,10,5,15
new,5,9,14
hand,2,12,14
doing,13,1,14
back,11,3,14
wife,3,10,13
name,10,3,13
mind,6,7,13
made,5,8,13
heart,1,12,13
eyes,9,4,13
two,8,4,12
theres,4,8,12
strange,4,8,12
sorry,10,2,12
poor,5,7,12
nature,3,9,12
keep,6,6,12
hell,5,7,12
world,6,5,11
thought,4,7,11
sure,8,3,11
put,3,8,11
house,8,3,11
hands,1,10,11
face,1,10,11
death,1,10,11
children,4,7,11
away,8,3,11
true,8,2,10
thing,6,4,10
terrible,7,3,10
husband,6,4,10
hear,4,6,10
doctor,5,5,10
three,7,2,9
tell,4,5,9
talk,8,1,9
meet,5,4,9
leave,1,8,9
heard,1,8,9
better,6,3,9
afraid,5,4,9
wrong
doctor,5,2,7
cream,6,1,7
came,3,4,7
busi
open,6,2,8
murder,2,6,8
kind,6,2,8
head,3,5,8
easy,7,1,8
earth,2,6,8
devil,4,4,8
care,5,3,8
bear,1,7,8
use,5,2,7
truth,2,5,7
sweet,5,2,7
sick,5,2,7
seen,2,5,7
please,5,2,7
need,5,2,7
mean,5,2,7
makes,4,3,7
honest,3,4,7
hold,2,5,7
hard,5,2,7
hang,1,6,7
friends,4,3,7
find,1,6,7
eat,5,2,7
double,3,4,7
days,3,4,7
cream,6,1,7
coming,3,4,7
comes,1,6,7
answer,4,3,7
words,2,4,6
wash,3,3,6
wait,5,1,6
try,5,1,6
tongue,1,5,6
told,5,1,6
throw,2,4,6
son,2,4,6
short,5,1,6
send,1,5,6
power,2,4,6
nights,1,5,6
news,3,3,6
morning,5,1,6
matter,5,1,6
lie,1,5,6
hope,1,5,6
home,4,2,6
help,3,3,6
goes,1,5,6
full,2,4,6
far,1,5,6
deep,2,4,6
course,5,1,6
came,3,3,6
business,3,3,6
bring,1,5,6
black,1,5,6
best,2,4,6
worst,1,4,5
work,3,2,5
win,3,2,5
weird,1,4,5
times,3,2,5
thanks,1,4,5
sit,3,2,5
sense,3,2,5
person,2,3,5
lives,1,4,5
laugh,1,4,5
late,3,2,5
knows,4,1,5
hurt,4,1,5
human,4,1,5
fled,1,4,5
feeling,4,1,5
fair,3,2,5
evil,4,1,5
die,3,2,5
dark,2,3,5
crown,1,4,5
brains,3,2,5
brain,2,3,5
bond,3,2,5
word,2,2,4
watch,1,3,4
twenty,1,3,4
trust,3,1,4
trouble,2,2,4
thoughts,1,3,4
soul,2,2,4
smile,2,2,4
shut,3,1,4
shell,3,1,4
rest,1,3,4
remember,3,1,4
purp
surprise
prince,3,1,4
pay,3,1,4
ones,2,2,4
noise,1,3,4
natural,3,1,4
mother,1,3,4
miss,2,2,4
lost,2,2,4
lose,1,3,4
long,2,2,4
left,3,1,4
kiss,2,2,4
heres,1,3,4
happy,3,1,4
ha,3,1,4
friend,1,3,4
foreign,3,1,4
fill,1,3,4
fight,1,3,4
feed,3,1,4
died,1,3,4
cut,1,3,4
chance,1,3,4
broad,3,1,4
breath,1,3,4
boy,1,3,4
bad,3,1,4
young,1,2,3
youll,2,1,3
wish,2,1,3
wind,1,2,3
went,2,1,3
waves,2,1,3
used,2,1,3
top,2,1,3
ten,1,2,3
taking,1,2,3
stood,1,2,3
stay,1,2,3
speech,1,2,3
seven,2,1,3
sent,1,2,3
saying,2,1,3
question,1,2,3
promise,1,2,3
powerful,2,1,3
pieces,2,1,3
perfect,1,2,3
paper,2,1,3
old,1,2,3
naked,1,2,3
minute,2,1,3
met,1,2,3
making,2,1,3
mad,1,2,3
looks,2,1,3
line,1,2,3
kill,1,2,3
keeps,1,2,3
horse,2,1,3
ho,1,2,3
high,1,2,3
health,1,2,3
heads,1,2,3
hair,1,2,3
grow,2,1,3
grace,1,2,3
gone,2,1,3
gentlemen,1,2,3
gave,2,1,3
future,2,1,3
found,1,2,3
forgot,2,1,3
fit,1,2,3
feet,2,1,3
fathers,1,2,3
faith,1,2,3
end,1,2,3
drink,2,1,3
drawn,1,2,3
desire,1,2,3
danger,1,2,3
curse,2,1,3
cure,1,2,3
clean,1,2,3
child,1,2,3
burn,2,1,3
asleep,1,2,3
afternoon,2,1,3
act,1,2,3
worlds,1,1,2
works,1,1,2
wonder,1,1,2
witchcraft,1,1,2
walk,1,1,2
touch,1,1,2
torture,1,1,2
tooth,1,1,2
thumbs,1,1,2
teach,1,1,2
taught,1,1,2
taste,1,1,2
swear,1,1,2
supernatural,1,1,2
start,1,1,2
spend,1,1,2
source,1,1,2
society,1,1,2
smell,1,1,2
shed,1,1,2
serpent,1,1,2
serious,1,1,2
sell,1,1,2
season,1,1,2
ripe,1,1,2
ready,1,1,2
purposes,1,1,2
prayers,1,1,2
piece,1,1,2
past,1,1,2
pardon,1,1,2
office,1,1,2
note,1,1,2
mouth,1,1,2
mothers,1,1,2
morn,1,1,2
modern,1,1,2
milk,1,1,2
matters,1,1,2
loved,1,1,2
loose,1,1,2
ll,1,1,2
lips,1,1,2
liar,1,1,2
image,1,1,2
held,1,1,2
half,1,1,2
guess,1,1,2
grain,1,1,2
genius,1,1,2
free,1,1,2
force,1,1,2
flowers,1,1,2
estate,1,1,2
effect,1,1,2
eaten,1,1,2
dry,1,1,2
drain,1,1,2
domestic,1,1,2
dignity,1,1,2
destroy,1,1,2
deserved,1,1,2
damn,1,1,2
common,1,1,2
close,1,1,2
catch,1,1,2
body,1,1,2
bleed,1,1,2
birth,1,1,2
baby,1,1,2
added,1,1,2
dont,69,0,69
im,40,0,40
want,31,0,31
cant,29,0,29
youre,23,0,23
daryl,20,0,20
alex,20,0,20
okay,16,0,16
jane,15,0,15
clyde,15,0,15
felicia,14,0,14
sukie,13,0,13
somebody,13,0,13
theyre,12,0,12
shes,12,0,12
really,11,0,11
yeah,10,0,10
thank,10,0,10
isnt,10,0,10
happen,10,0,10
nice,9,0,9
town,8,0,8
tickle,8,0,8
pain,8,0,8
bought,8,0,8
van,7,0,7
understand,7,0,7
talking,7,0,7
looking,7,0,7
doesnt,7,0,7
walter,6,0,6
trying,6,0,6
today,6,0,6
people,6,0,6
mm,6,0,6
maybe,6,0,6
horne,6,0,6
hi,6,0,6
fine,6,0,6
faster,6,0,6
family,6,0,6
big,6,0,6
arent,6,0,6
anybody,6,0,6
pregnant,5,0,5
mistakes,5,0,5
lunch,5,0,5
lenox,5,0,5
ladies,5,0,5
kids,5,0,5
ive,5,0,5
ice,5,0,5
huh,5,0,5
hmm,5,0,5
having,5,0,5
girls,5,0,5
fuck,5,0,5
four,5,0,5
eastwick,5,0,5
didnt,5,0,5
believe,5,0,5
youve,4,0,4
whores,4,0,4
week,4,0,4
um,4,0,4
thinking,4,0,4
sweetheart,4,0,4
sugar,4,0,4
starts,4,0,4
small,4,0,4
precision,4,0,4
passion,4,0,4
nobodys,4,0,4
music,4,0,4
liberty,4,0,4
interview,4,0,4
interesting,4,0,4
inside,4,0,4
honey,4,0,4
hello,4,0,4
happens,4,0,4
five,4,0,4
fidel,4,0,4
divorce,4,0,4
disintegrating,4,0,4
couldnt,4,0,4
chocolate,4,0,4
called,4,0,4
birds,4,0,4
appreciate,4,0,4
york,3,0,3
wouldnt,3,0,3
wont,3,0,3
upset,3,0,3
uhn,3,0,3
tomorrow,3,0,3
stupid,3,0,3
spofford,3,0,3
snowy,3,0,3
six,3,0,3
shit,3,0,3
shh,3,0,3
selling,3,0,3
rid,3,0,3
relax,3,0,3
problem,3,0,3
prissy,3,0,3
pianos,3,0,3
peculiar,3,0,3
peanut,3,0,3
number,3,0,3
newspaper,3,0,3
needed,3,0,3
mrs,3,0,3
mirror,3,0,3
local,3,0,3
kid,3,0,3
jelly,3,0,3
janey,3,0,3
id,3,0,3
huge,3,0,3
hardships,3,0,3
happening,3,0,3
handsome,3,0,3
fish,3,0,3
fault,3,0,3
fabulous,3,0,3
excuse,3,0,3
drugs,3,0,3
disappear,3,0,3
daylight,3,0,3
darling,3,0,3
crazy,3,0,3
crawl,3,0,3
couple,3,0,3
christ,3,0,3
cherry,3,0,3
case,3,0,3
butter,3,0,3
braved,3,0,3
bone,3,0,3
bitch,3,0,3
bit,3,0,3
ask,3,0,3
anymore,3,0,3
alexandra,3,0,3
admit,3,0,3
witches,2,0,2
wilderness,2,0,2
wasted,2,0,2
warn,2,0,2
war,2,0,2
wanted,2,0,2
waiting,2,0,2
visions,2,0,2
vice,2,0,2
vast,2,0,2
values,2,0,2
unloads,2,0,2
uncontrollable,2,0,2
traveling,2,0,2
thursday,2,0,2
thumb,2,0,2
tennis,2,0,2
tamed,2,0,2
tall,2,0,2
talked,2,0,2
surprise,2,0,2
supposed,2,0,2
superior,2,0,2
strong,2,0,2
store,2,0,2
started,2,0,2
standing,2,0,2
snakes,2,0,2
size,2,0,2
single,2,0,2
shop,2,0,2
shirts,2,0,2
settle,2,0,2
selfish,2,0,2
seeing,2,0,2
seduce,2,0,2
sea,2,0,2
schylers,2,0,2
scares,2,0,2
scale,2,0,2
reporting,2,0,2
realize,2,0,2
rape,2,0,2
putting,2,0,2
prefer,2,0,2
practice,2,0,2
potent,2,0,2
playing,2,0,2
pistachio,2,0,2
pissing,2,0,2
pie,2,0,2
pick,2,0,2
phrases,2,0,2
pass,2,0,2
oversimplifying,2,0,2
overreact,2,0,2
outcries,2,0,2
opinion,2,0,2
notes,2,0,2
normal,2,0,2
neff,2,0,2
morality,2,0,2
mistake,2,0,2
missed,2,0,2
minutes,2,0,2
million,2,0,2
midwives,2,0,2
middle,2,0,2
marrow,2,0,2
mansion,2,0,2
male,2,0,2
macrame,2,0,2
lucky,2,0,2
ls,2,0,2
lot,2,0,2
looked,2,0,2
listen,2,0,2
limit,2,0,2
leg,2,0,2
landmark,2,0,2
