word,The Witches of Eastwick,The Craft,total
dont,69,63,132
know,50,57,107
im,40,56,96
go,26,44,70
like,32,36,68
want,31,34,65
thats,36,26,62
come,29,30,59
think,28,30,58
youre,23,31,54
yeah,10,42,52
oh,19,31,50
cant,29,18,47
see,29,17,46
look,19,27,46
right,22,23,45
good,21,23,44
little,28,14,42
going,18,22,40
whats,15,24,39
yes,29,8,37
stop,14,23,37
really,11,26,37
okay,16,21,37
sorry,10,25,35
shes,12,20,32
god,12,20,32
make,21,10,31
hes,11,17,28
back,11,17,28
love,15,11,26
lets,17,9,26
please,5,20,25
take,15,9,24
didnt,5,19,24
theyre,12,11,23
feel,14,8,22
wait,5,16,21
time,16,5,21
mean,5,16,21
maybe,6,15,21
ill,5,16,21
doing,13,8,21
need,5,14,19
guys,1,18,19
women,17,1,18
way,7,11,18
things,12,6,18
nice,9,9,18
woman,15,1,16
somebody,13,3,16
shit,3,13,16
man,10,6,16
call,10,6,16
away,8,8,16
understand,7,8,15
three,7,8,15
sure,8,7,15
hi,6,9,15
head,3,12,15
happen,10,5,15
talking,7,7,14
power,2,12,14
people,6,8,14
looking,7,7,14
life,8,6,14
girls,5,9,14
fine,6,8,14
thought,4,9,13
thing,6,7,13
thank,10,3,13
tell,4,9,13
home,4,9,13
eyes,9,4,13
doesnt,7,6,13
wrong,7,5,12
trying,6,6,12
talk,8,4,12
isnt,10,2,12
honey,4,8,12
hear,4,8,12
day,9,3,12
big,6,6,12
better,6,6,12
true,8,3,11
keep,6,5,11
house,8,3,11
give,5,6,11
believe,5,6,11
told,5,5,10
times,3,7,10
thee,1,9,10
saying,2,8,10
pay,3,7,10
mind,6,4,10
matter,5,5,10
made,5,5,10
ive,5,5,10
great,5,5,10
dead,5,5,10
arent,6,4,10
two,8,1,9
try,5,4,9
today,6,3,9
put,3,6,9
play,7,2,9
inside,4,5,9
hell,5,4,9
bad,3,6,9
use,5,3,8
thinking,4,4,8
theres,4,4,8
shut,3,5,8
place,4,4,8
open,6,2,8
new,5,3,8
makes,4,4,8
listen,2,6,8
kind,6,2,8
hold,2,6,8
help,3,5,8
hello,4,4,8
having,5,3,8
friends,4,4,8
five,4,4,8
earth,2,6,8
course,5,3,8
bitch,3,5,8
beautiful,2,6,8
afraid,5,3,8
world,6,1,7
weird,1,6,7
watch,1,6,7
sweet,5,2,7
stay,1,6,7
sit,3,4,7
pathetic,1,6,7
killed,1,6,7
kill,1,6,7
huh,5,2,7
hard,5,2,7
devil,4,3,7
coming,3,4,7
called,4,3,7
ask,3,4,7
anybody,6,1,7
work,3,3,6
wanted,2,4,6
touch,1,5,6
supposed,2,4,6
remember,3,3,6
relax,3,3,6
practice,2,4,6
poor,5,1,6
paranoid,1,5,6
nature,3,3,6
natural,3,3,6
mother,1,5,6
morning,5,1,6
leave,1,5,6
late,3,3,6
kids,5,1,6
hurt,4,2,6
hmm,5,1,6
happening,3,3,6
hair,1,5,6
getting,2,4,6
fuck,5,1,6
four,5,1,6
feeling,4,2,6
eat,5,1,6
eastwick,5,1,6
drink,2,4,6
crazy,3,3,6
couldnt,4,2,6
care,5,1,6
came,3,3,6
bed,4,2,6
ass,2,4,6
actually,2,4,6
youve,4,1,5
win,3,2,5
whores,4,1,5
week,4,1,5
trust,3,2,5
tomorrow,3,2,5
strange,4,1,5
starts,4,1,5
school,1,4,5
perfect,1,4,5
nobodys,4,1,5
night,2,3,5
mom,1,4,5
looks,2,3,5
knows,4,1,5
jesus,2,3,5
interesting,4,1,5
id,3,2,5
guy,2,3,5
gone,2,3,5
gave,2,3,5
funny,2,3,5
forget,1,4,5
end,1,4,5
deep,2,3,5
days,3,2,5
darling,3,2,5
bigger,2,3,5
answer,4,1,5
youll,2,2,4
wouldnt,3,1,4
wont,3,1,4
witches,2,2,4
waiting,2,2,4
used,2,2,4
truth,2,2,4
surprise,2,2,4
stupid,3,1,4
started,2,2,4
size,2,2,4
shell,3,1,4
serpent,1,3,4
seen,2,2,4
room,1,3,4
reason,1,3,4
ready,1,3,4
powerful,2,2,4
news,3,1,4
mrs,3,1,4
mirror,3,1,4
minute,2,2,4
middle,2,2,4
lot,2,2,4
heart,1,3,4
heads,1,3,4
happy,3,1,4
hang,1,3,4
hand,2,2,4
guess,1,3,4
fingers,2,2,4
find,1,3,4
fault,3,1,4
excuse,3,1,4
especially,2,2,4
deal,2,2,4
comes,1,3,4
close,1,3,4
christ,3,1,4
car,1,3,4
body,1,3,4
black,1,3,4
anymore,3,1,4
youd,1,2,3
worked,1,2,3
wish,2,1,3
weve,1,2,3
walk,1,2,3
twenty,1,2,3
throwing,1,2,3
thanks,1,2,3
sucks,1,2,3
strong,2,1,3
snakes,2,1,3
slut,1,2,3
sleep,1,2,3
seeing,2,1,3
sea,2,1,3
playing,2,1,3
pieces,2,1,3
pick,2,1,3
person,2,1,3
pass,2,1,3
party,1,2,3
ones,2,1,3
old,1,2,3
miss,2,1,3
loved,1,2,3
looked,2,1,3
long,2,1,3
learn,1,2,3
later,1,2,3
keeps,1,2,3
imagine,2,1,3
heard,1,2,3
havent,1,2,3
hanging,1,2,3
goes,1,2,3
goddamn,1,2,3
full,2,1,3
found,1,2,3
feet,2,1,3
fear,1,2,3
far,1,2,3
fall,1,2,3
exactly,2,1,3
dream,1,2,3
dinner,1,2,3
different,2,1,3
dicks,2,1,3
definitely,1,2,3
dark,2,1,3
calm,1,2,3
busy,1,2,3
burn,2,1,3
baby,1,2,3
attention,2,1,3
amazing,1,2,3
ahead,2,1,3
accident,1,2,3
worst,1,1,2
wonderful,1,1,2
wonder,1,1,2
wind,1,1,2
uh,1,1,2
trip,1,1,2
treat,1,1,2
thy,1,1,2
thoughts,1,1,2
telling,1,1,2
teach,1,1,2
taking,1,1,2
start,1,1,2
spanish,1,1,2
sounded,1,1,2
shopping,1,1,2
send,1,1,2
sell,1,1,2
screwed,1,1,2
running,1,1,2
rocks,1,1,2
rest,1,1,2
respect,1,1,2
reading,1,1,2
rag,1,1,2
prayers,1,1,2
position,1,1,2
pool,1,1,2
personal,1,1,2
ooh,1,1,2
moving,1,1,2
mothers,1,1,2
missing,1,1,2
major,1,1,2
mad,1,1,2
lying,1,1,2
liked,1,1,2
lie,1,1,2
leaves,1,1,2
idea,1,1,2
hurting,1,1,2
hole,1,1,2
high,1,1,2
hiding,1,1,2
hat,1,1,2
half,1,1,2
grace,1,1,2
glad,1,1,2
genius,1,1,2
gathering,1,1,2
game,1,1,2
fun,1,1,2
fill,1,1,2
fathers,1,1,2
fat,1,1,2
face,1,1,2
died,1,1,2
dick,1,1,2
deserved,1,1,2
deserve,1,1,2
deaf,1,1,2
damn,1,1,2
cute,1,1,2
conversation,1,1,2
control,1,1,2
coffee,1,1,2
clean,1,1,2
chip,1,1,2
child,1,1,2
chance,1,1,2
bring,1,1,2
breath,1,1,2
boy,1,1,2
blind,1,1,2
bitches,1,1,2
bedroom,1,1,2
animals,1,1,2
act,1,1,2
daryl,20,0,20
alex,20,0,20
jane,15,0,15
clyde,15,0,15
felicia,14,0,14
sukie,13,0,13
name,10,0,10
men,9,0,9
town,8,0,8
tickle,8,0,8
pain,8,0,8
bought,8,0,8
van,7,0,7
terrible,7,0,7
easy,7,0,7
walter,6,0,6
mm,6,0,6
husband,6,0,6
horne,6,0,6
faster,6,0,6
family,6,0,6
cream,6,0,6
sick,5,0,5
short,5,0,5
pregnant,5,0,5
mistakes,5,0,5
meet,5,0,5
lunch,5,0,5
lenox,5,0,5
ladies,5,0,5
ice,5,0,5
doctor,5,0,5
um,4,0,4
sweetheart,4,0,4
sugar,4,0,4
small,4,0,4
precision,4,0,4
passion,4,0,4
music,4,0,4
liberty,4,0,4
interview,4,0,4
human,4,0,4
happens,4,0,4
fidel,4,0,4
evil,4,0,4
done,4,0,4
divorce,4,0,4
disintegrating,4,0,4
chocolate,4,0,4
children,4,0,4
birds,4,0,4
appreciate,4,0,4
york,3,0,3
wife,3,0,3
wash,3,0,3
upset,3,0,3
uhn,3,0,3
spofford,3,0,3
snowy,3,0,3
six,3,0,3
shh,3,0,3
sense,3,0,3
selling,3,0,3
rid,3,0,3
problem,3,0,3
prissy,3,0,3
prince,3,0,3
pianos,3,0,3
peculiar,3,0,3
peanut,3,0,3
number,3,0,3
newspaper,3,0,3
needed,3,0,3
local,3,0,3
left,3,0,3
kid,3,0,3
jelly,3,0,3
janey,3,0,3
huge,3,0,3
honest,3,0,3
hardships,3,0,3
handsome,3,0,3
ha,3,0,3
foreign,3,0,3
fish,3,0,3
feed,3,0,3
fair,3,0,3
fabulous,3,0,3
drugs,3,0,3
double,3,0,3
disappear,3,0,3
die,3,0,3
daylight,3,0,3
crawl,3,0,3
couple,3,0,3
cherry,3,0,3
case,3,0,3
butter,3,0,3
business,3,0,3
broad,3,0,3
braved,3,0,3
brains,3,0,3
bone,3,0,3
bond,3,0,3
bit,3,0,3
alexandra,3,0,3
admit,3,0,3
words,2,0,2
word,2,0,2
wilderness,2,0,2
went,2,0,2
waves,2,0,2
wasted,2,0,2
warn,2,0,2
war,2,0,2
visions,2,0,2
vice,2,0,2
vast,2,0,2
values,2,0,2
unloads,2,0,2
uncontrollable,2,0,2
trouble,2,0,2
traveling,2,0,2
top,2,0,2
thursday,2,0,2
thumb,2,0,2
throw,2,0,2
tennis,2,0,2
tamed,2,0,2
tall,2,0,2
talked,2,0,2
superior,2,0,2
store,2,0,2
standing,2,0,2
stand,2,0,2
soul,2,0,2
son,2,0,2
smile,2,0,2
single,2,0,2
shop,2,0,2
shirts,2,0,2
seven,2,0,2
settle,2,0,2
selfish,2,0,2
seduce,2,0,2
schylers,2,0,2
scares,2,0,2
scale,2,0,2
reporting,2,0,2
realize,2,0,2
rape,2,0,2
putting,2,0,2
prefer,2,0,2
potent,2,0,2
pistachio,2,0,2
pissing,2,0,2
pie,2,0,2
phrases,2,0,2
paper,2,0,2
oversimplifying,2,0,2
overreact,2,0,2
outcries,2,0,2
opinion,2,0,2
notes,2,0,2
normal,2,0,2
neff,2,0,2
murder,2,0,2
morality,2,0,2
mistake,2,0,2
missed,2,0,2
minutes,2,0,2
million,2,0,2
midwives,2,0,2
marrow,2,0,2
mansion,2,0,2
male,2,0,2
making,2,0,2
macrame,2,0,2
lucky,2,0,2
ls,2,0,2
lost,2,0,2
lord,2,0,2
limit,2,0,2
leg,2,0,2
landmark,2,0,2
knew,2,0,2
kiss,2,0,2
kidding,2,0,2
intonation,2,0,2
hundreds,2,0,2
horse,2,0,2
history,2,0,2
hed,2,0,2
growing,2,0,2
grow,2,0,2
goodness,2,0,2
goo,2,0,2
garden,2,0,2
future,2,0,2
fruit,2,0,2
forgot,2,0,2
forever,2,0,2
flow,2,0,2
families,2,0,2
failure,2,0,2
exercise,2,0,2
entire,2,0,2
egrets,2,0,2
dumb,2,0,2
dirt,2,0,2
direct,2,0,2
diddle,2,0,2
deserted,2,0,2
david,2,0,2
daddy,2,0,2
curse,2,0,2
coochie,2,0,2
considering,2,0,2
consciousness,2,0,2
column,2,0,2
clich,2,0,2
change,2,0,2
carol,2,0,2
building,2,0,2
bravis,2,0,2
brava,2,0,2
brain,2,0,2
boys,2,0,2
bowing,2,0,2
bother,2,0,2
boring,2,0,2
birthday,2,0,2
best,2,0,2
bends,2,0,2
ballroom,2,0,2
bagels,2,0,2
babies,2,0,2
asked,2,0,2
america,2,0,2
ah,2,0,2
afternoon,2,0,2
zucchini,1,0,1
young,1,0,1
yoo,1,0,1
wrote,1,0,1
writer,1,0,1
worlds,1,0,1
works,1,0,1
witchcraft,1,0,1
wishing,1,0,1
whoo,1,0,1
wetlands,1,0,1
wet,1,0,1
werent,1,0,1
weeks,1,0,1
wed,1,0,1
wearing,1,0,1
waste,1,0,1
washes,1,0,1
wars,1,0,1
wanting,1,0,1
vulgar,1,0,1
vodka,1,0,1
vibrato,1,0,1
vessels,1,0,1
vegetable,1,0,1
vaccine,1,0,1
using,1,0,1
untrue,1,0,1
unreal,1,0,1
ungrateful,1,0,1
unfaithful,1,0,1
unfair,1,0,1
unattractive,1,0,1
twit,1,0,1
twisted,1,0,1
turpitude,1,0,1
trough,1,0,1
trivial,1,0,1
trick,1,0,1
track,1,0,1
toxic,1,0,1
tourist,1,0,1
torture,1,0,1
torn,1,0,1
toothbrush,1,0,1
tooth,1,0,1
tongue,1,0,1
toes,1,0,1
tired,1,0,1
tip,1,0,1
tighten,1,0,1
tied,1,0,1
tidal,1,0,1
thursdays,1,0,1
thumbs,1,0,1
th,1,0,1
test,1,0,1
terrific,1,0,1
ten,1,0,1
taught,1,0,1
taste,1,0,1
tara,1,0,1
tapes,1,0,1
taken,1,0,1
systems,1,0,1
sympathy,1,0,1
swine,1,0,1
swear,1,0,1
suppose,1,0,1
supernatural,1,0,1
suing,1,0,1
suffocates,1,0,1
sued,1,0,1
sublime,1,0,1
study,1,0,1
students,1,0,1
strung,1,0,1
strove,1,0,1
stretch,1,0,1
strangest,1,0,1
stranger,1,0,1
stopped,1,0,1
stood,1,0,1
stimulating,1,0,1
spine,1,0,1
spiccato,1,0,1
spend,1,0,1
speech,1,0,1
spacious,1,0,1
source,1,0,1
sounds,1,0,1
sons,1,0,1
someones,1,0,1
solid,1,0,1
sold,1,0,1
socks,1,0,1
society,1,0,1
snap,1,0,1
smell,1,0,1
slowed,1,0,1
skies,1,0,1
sixteenth,1,0,1
singles,1,0,1
sideways,1,0,1
shout,1,0,1
shining,1,0,1
shelves,1,0,1
shed,1,0,1
shamelessness,1,0,1
serves,1,0,1
serious,1,0,1
separation,1,0,1
sent,1,0,1
senior,1,0,1
