word,The Witches of Eastwick,The Wizard of Oz,total
dont,69,54,123
im,40,64,104
man,10,89,99
come,29,63,92
thats,36,54,90
go,26,50,76
know,50,23,73
see,29,43,72
back,11,55,66
like,32,33,65
right,22,37,59
youre,23,34,57
yes,29,28,57
cant,29,26,55
want,31,23,54
little,28,25,53
think,28,22,50
oh,19,31,50
ha,3,42,45
ill,5,36,41
look,19,21,40
home,4,36,40
good,21,19,40
take,15,24,39
away,8,31,39
going,18,19,37
place,4,28,32
time,16,15,31
theres,4,27,31
shes,12,19,31
scene,1,30,31
way,7,23,30
make,21,9,30
help,3,26,29
whats,15,13,28
lets,17,10,27
heart,1,26,27
things,12,14,26
please,5,21,26
old,1,24,25
miss,2,23,25
id,3,22,25
give,5,20,25
dead,5,20,25
really,11,13,24
ive,5,18,23
didnt,5,18,23
great,5,17,22
wonderful,1,20,21
stop,14,7,21
hes,11,10,21
day,9,12,21
woman,15,5,20
love,15,5,20
doing,13,7,20
house,8,11,19
feel,14,5,19
brain,2,17,19
afraid,5,14,19
thank,10,8,18
isnt,10,8,18
ho,1,17,18
three,7,10,17
theyre,12,5,17
eyes,9,8,17
believe,5,12,17
yeah,10,6,16
try,5,11,16
somebody,13,3,16
name,10,6,16
four,5,11,16
youve,4,11,15
youll,2,13,15
wont,3,12,15
two,8,7,15
true,8,7,15
long,2,13,15
course,5,10,15
weve,1,13,14
thought,4,10,14
thing,6,8,14
tell,4,10,14
sure,8,6,14
open,6,8,14
keep,6,8,14
bad,3,11,14
put,3,10,13
nice,9,4,13
mean,5,8,13
makes,4,9,13
kind,6,7,13
havent,1,12,13
doesnt,7,6,13
better,6,7,13
wait,5,7,12
trouble,2,10,12
talk,8,4,12
men,9,3,12
hurt,4,8,12
hear,4,8,12
head,3,9,12
done,4,8,12
bed,4,8,12
sorry,10,1,11
people,6,5,11
hand,2,9,11
goodbye,1,10,11
find,1,10,11
call,10,1,11
big,6,5,11
anybody,6,5,11
wrong,7,3,10
wouldnt,3,7,10
use,5,5,10
trying,6,4,10
town,8,2,10
talking,7,3,10
pain,8,2,10
made,5,5,10
life,8,2,10
fine,6,4,10
couldnt,4,6,10
brains,3,7,10
youd,1,8,9
terrible,7,2,9
powerful,2,7,9
poor,5,4,9
looking,7,2,9
huh,5,4,9
gone,2,7,9
face,1,8,9
easy,7,2,9
world,6,2,8
understand,7,1,8
told,5,3,8
stay,1,7,8
room,1,7,8
remember,3,5,8
play,7,1,8
new,5,3,8
minute,2,6,8
mind,6,2,8
meet,5,3,8
maybe,6,2,8
matter,5,3,8
inside,4,4,8
horse,2,6,8
fight,1,7,8
eat,5,3,8
care,5,3,8
ask,3,5,8
arent,6,2,8
work,3,4,7
wish,2,5,7
tomorrow,3,4,7
today,6,1,7
small,4,3,7
sick,5,2,7
seen,2,5,7
listen,2,5,7
laugh,1,6,7
knows,4,3,7
kids,5,2,7
honey,4,3,7
friends,4,3,7
doctor,5,2,7
dark,2,5,7
couple,3,4,7
comes,1,6,7
came,3,4,7
called,4,3,7
bring,1,6,7
beautiful,2,5,7
thinking,4,2,6
sweet,5,1,6
suppose,1,5,6
start,1,5,6
power,2,4,6
news,3,3,6
need,5,1,6
lunch,5,1,6
leave,1,5,6
knew,2,4,6
hope,1,5,6
hell,5,1,6
heard,1,5,6
having,5,1,6
hard,5,1,6
happy,3,3,6
gets,1,5,6
full,2,4,6
feeling,4,2,6
dream,1,5,6
days,3,3,6
coming,3,3,6
bit,3,3,6
anymore,3,3,6
witches,2,3,5
week,4,1,5
times,3,2,5
starts,4,1,5
sleep,1,4,5
sit,3,2,5
scare,1,4,5
running,1,4,5
quick,1,4,5
nobodys,4,1,5
mouth,1,4,5
middle,2,3,5
lucky,2,3,5
lot,2,3,5
killed,1,4,5
kid,3,2,5
human,4,1,5
hold,2,3,5
history,2,3,5
heres,1,4,5
hello,4,1,5
happens,4,1,5
guess,1,4,5
goodness,2,3,5
getting,2,3,5
garden,2,3,5
far,1,4,5
fair,3,2,5
different,2,3,5
darling,3,2,5
black,1,4,5
birds,4,1,5
appreciate,4,1,5
ahead,2,3,5
young,1,3,4
wind,1,3,4
wife,3,1,4
went,2,2,4
wed,1,3,4
wash,3,1,4
walk,1,3,4
used,2,2,4
truth,2,2,4
throw,2,2,4
thoughts,1,3,4
standing,2,2,4
stand,2,2,4
sent,1,3,4
seeing,2,2,4
rest,1,3,4
putting,2,2,4
prince,3,1,4
pick,2,2,4
perfect,1,3,4
pay,3,1,4
night,2,2,4
mrs,3,1,4
looks,2,2,4
left,3,1,4
leader,1,3,4
late,3,1,4
kill,1,3,4
high,1,3,4
happening,3,1,4
half,1,3,4
funny,2,2,4
friend,1,3,4
fish,3,1,4
feet,2,2,4
feed,3,1,4
fault,3,1,4
earth,2,2,4
disappear,3,1,4
close,1,3,4
certainly,1,3,4
business,3,1,4
best,2,2,4
attack,1,3,4
animals,1,3,4
words,2,1,3
wilderness,2,1,3
werent,1,2,3
wearing,1,2,3
waves,2,1,3
waiting,2,1,3
traveling,2,1,3
top,2,1,3
tied,1,2,3
th,1,2,3
superior,2,1,3
strong,2,1,3
started,2,1,3
smile,2,1,3
smell,1,2,3
saying,2,1,3
reason,1,2,3
ready,1,2,3
reading,1,2,3
promise,1,2,3
polite,1,2,3
pieces,2,1,3
person,2,1,3
pass,2,1,3
pardon,1,2,3
nose,1,2,3
mountains,1,2,3
met,1,2,3
making,2,1,3
lost,2,1,3
lose,1,2,3
leg,2,1,3
idea,1,2,3
honor,1,2,3
holds,1,2,3
healthy,1,2,3
heads,1,2,3
hanging,1,2,3
hands,1,2,3
gave,2,1,3
future,2,1,3
found,1,2,3
forgot,2,1,3
forgetting,1,2,3
forever,2,1,3
fix,1,2,3
failure,2,1,3
exactly,2,1,3
dirt,2,1,3
deep,2,1,3
death,1,2,3
child,1,2,3
catch,1,2,3
busy,1,2,3
broken,1,2,3
bother,2,1,3
bigger,2,1,3
beginning,1,2,3
attention,2,1,3
asked,2,1,3
absolutely,1,2,3
works,1,1,2
wonder,1,1,2
weeks,1,1,2
watch,1,1,2
using,1,1,2
ungrateful,1,1,2
torn,1,1,2
throwing,1,1,2
thanks,1,1,2
teach,1,1,2
taking,1,1,2
taken,1,1,2
stopped,1,1,2
solid,1,1,2
slowed,1,1,2
skies,1,1,2
shed,1,1,2
send,1,1,2
ruined,1,1,2
rubbish,1,1,2
respect,1,1,2
purpose,1,1,2
plain,1,1,2
physically,1,1,2
personal,1,1,2
perfectly,1,1,2
past,1,1,2
morally,1,1,2
matters,1,1,2
mad,1,1,2
loved,1,1,2
loose,1,1,2
lock,1,1,2
ll,1,1,2
lives,1,1,2
line,1,1,2
lie,1,1,2
legs,1,1,2
learn,1,1,2
later,1,1,2
kept,1,1,2
keeps,1,1,2
independence,1,1,2
hurting,1,1,2
held,1,1,2
hat,1,1,2
hair,1,1,2
hadnt,1,1,2
goes,1,1,2
glad,1,1,2
gentlemen,1,1,2
fun,1,1,2
free,1,1,2
forty,1,1,2
forget,1,1,2
force,1,1,2
flowers,1,1,2
flies,1,1,2
finished,1,1,2
fear,1,1,2
fathers,1,1,2
end,1,1,2
destroy,1,1,2
desire,1,1,2
deserve,1,1,2
danger,1,1,2
cut,1,1,2
creatures,1,1,2
creature,1,1,2
count,1,1,2
clothes,1,1,2
chance,1,1,2
bump,1,1,2
brings,1,1,2
breath,1,1,2
breaks,1,1,2
breaking,1,1,2
boy,1,1,2
bedroom,1,1,2
baby,1,1,2
affection,1,1,2
accident,1,1,2
daryl,20,0,20
alex,20,0,20
women,17,0,17
okay,16,0,16
jane,15,0,15
clyde,15,0,15
felicia,14,0,14
sukie,13,0,13
god,12,0,12
happen,10,0,10
tickle,8,0,8
bought,8,0,8
van,7,0,7
walter,6,0,6
mm,6,0,6
husband,6,0,6
horne,6,0,6
hi,6,0,6
faster,6,0,6
family,6,0,6
cream,6,0,6
short,5,0,5
pregnant,5,0,5
morning,5,0,5
mistakes,5,0,5
lenox,5,0,5
ladies,5,0,5
ice,5,0,5
hmm,5,0,5
girls,5,0,5
fuck,5,0,5
eastwick,5,0,5
whores,4,0,4
um,4,0,4
sweetheart,4,0,4
sugar,4,0,4
strange,4,0,4
precision,4,0,4
passion,4,0,4
music,4,0,4
liberty,4,0,4
interview,4,0,4
interesting,4,0,4
five,4,0,4
fidel,4,0,4
evil,4,0,4
divorce,4,0,4
disintegrating,4,0,4
devil,4,0,4
chocolate,4,0,4
children,4,0,4
answer,4,0,4
york,3,0,3
win,3,0,3
upset,3,0,3
uhn,3,0,3
trust,3,0,3
stupid,3,0,3
spofford,3,0,3
snowy,3,0,3
six,3,0,3
shut,3,0,3
shit,3,0,3
shh,3,0,3
shell,3,0,3
sense,3,0,3
selling,3,0,3
rid,3,0,3
relax,3,0,3
problem,3,0,3
prissy,3,0,3
pianos,3,0,3
peculiar,3,0,3
peanut,3,0,3
number,3,0,3
newspaper,3,0,3
needed,3,0,3
nature,3,0,3
natural,3,0,3
mirror,3,0,3
local,3,0,3
jelly,3,0,3
janey,3,0,3
huge,3,0,3
honest,3,0,3
hardships,3,0,3
handsome,3,0,3
foreign,3,0,3
fabulous,3,0,3
excuse,3,0,3
drugs,3,0,3
double,3,0,3
die,3,0,3
daylight,3,0,3
crazy,3,0,3
crawl,3,0,3
christ,3,0,3
cherry,3,0,3
case,3,0,3
butter,3,0,3
broad,3,0,3
braved,3,0,3
bone,3,0,3
bond,3,0,3
bitch,3,0,3
alexandra,3,0,3
admit,3,0,3
word,2,0,2
wasted,2,0,2
warn,2,0,2
war,2,0,2
wanted,2,0,2
visions,2,0,2
vice,2,0,2
vast,2,0,2
values,2,0,2
unloads,2,0,2
uncontrollable,2,0,2
thursday,2,0,2
thumb,2,0,2
tennis,2,0,2
tamed,2,0,2
tall,2,0,2
talked,2,0,2
surprise,2,0,2
supposed,2,0,2
store,2,0,2
soul,2,0,2
son,2,0,2
snakes,2,0,2
size,2,0,2
